,Unnamed: 0,E00,E01,E02,Month,Day,study,recreation_etc,travel,meal,household,personal_care,work,hobby,entertainment,recreation_media,communitiy_interaction,socialising,outdoor_act
1,1,-0.4446770727789868,-0.557123288226407,-0.5607021218275889,11,5,0.0,215.0,33.0,29.0,0.0,0.0,-282.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,2.148847142475105,1.8431693952046688,1.909673225613304,11,5,0.0,39.0,82.0,89.0,0.0,0.0,-188.0,0.0,0.0,0.0,0.0,8.0,0.0
11,11,4.43468237493768,4.448021984848225,4.413855032836892,11,5,0.0,388.0,164.0,-646.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0
0,0,-0.0926729991208645,-0.3048678794939121,-0.2766475133008157,11,5,0.0,33.0,112.0,24.0,58.0,28.0,-256.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-0.9495305384096326,-0.719204342944721,-0.7825886261105097,11,5,0.0,0.0,237.0,71.0,89.0,0.0,-398.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.8770870543160783,0.6934292405947673,0.7117725809916209,11,5,0.0,0.0,183.0,56.0,12.0,39.0,-291.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,-0.7296981823604654,-1.0585223809480198,-0.930568754354411,11,5,54.0,0.0,95.0,224.0,183.0,0.0,-557.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,-3.269917544930749,-3.58895706134939,-3.515919147255218,11,5,0.0,35.0,233.0,0.0,0.0,0.0,-269.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,-1.471910872378558,-1.2319897730234146,-1.295866318922009,11,5,0.0,37.0,159.0,-653.0,0.0,13.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.04965382034716,0.8748671508454464,0.8902758140963698,11,5,0.0,0.0,0.0,0.0,0.0,0.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,-1.0981382770406043,-1.0626399810423095,-1.06963906299859,11,5,0.0,-544.0,49.0,0.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,2.719714321853488,2.3384603781109234,2.452646343102004,11,5,0.0,153.0,183.0,65.0,77.0,0.0,-532.0,0.0,0.0,62.0,0.0,0.0,0.0
6,6,3.865135022606651,3.49773676814128,3.629936264511912,11,6,0.0,24.0,36.0,10.0,0.0,40.0,-172.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,-5.054600702581638,-5.433152272101864,-5.302390071300749,11,6,0.0,16.0,84.0,15.0,0.0,0.0,-118.0,0.0,0.0,0.0,0.0,2.0,0.0
0,0,2.0075770661570544,1.982567504683303,1.956693178187919,11,6,0.0,-220.0,1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.3138846302813789,0.330733466403899,0.2958521328600909,11,6,0.0,0.0,123.0,71.0,30.0,15.0,-280.0,0.0,0.0,0.0,0.0,0.0,40.0
4,4,0.4433423497493862,0.5059816968918653,0.4624652515045682,11,6,0.0,0.0,123.0,71.0,30.0,15.0,-280.0,0.0,0.0,0.0,0.0,0.0,40.0
4,4,-2.304929440716819,-2.3977331135654367,-2.4067425607227904,11,6,0.0,252.0,-521.0,28.0,87.0,0.0,128.0,25.0,0.0,0.0,0.0,0.0,0.0
5,5,-0.0048207559708828,0.152155179631265,0.095020078493718,11,6,0.0,0.0,127.0,144.0,5.0,-663.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,-0.4220094925997415,-0.0608745307284266,-0.1220222792884584,11,6,0.0,25.0,395.0,0.0,59.0,0.0,-483.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,-5.383242676192069,-5.088483123011557,-5.15344779149666,11,6,0.0,167.0,-514.0,87.0,104.0,0.0,137.0,0.0,0.0,18.0,0.0,0.0,0.0
4,4,0.7849319062466691,1.012034558935781,0.9488338963695782,11,7,75.0,285.0,76.0,-629.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3.323089908954273,3.674513774708872,3.729607266491058,11,7,0.0,50.0,163.0,-659.0,0.0,0.0,390.0,0.0,0.0,88.0,0.0,8.0,0.0
10,10,0.9128961058462436,0.7875749754693544,0.7876943928750819,11,7,0.0,26.0,131.0,104.0,5.0,0.0,-398.0,38.0,0.0,0.0,0.0,13.0,0.0
11,11,3.620302923407508,3.567809186134284,3.548428185332483,11,7,0.0,26.0,131.0,104.0,5.0,0.0,-398.0,38.0,0.0,0.0,0.0,13.0,0.0
11,11,-3.248178490292545,-2.795231101653286,-2.7945596609995818,11,7,0.0,24.0,251.0,109.0,61.0,46.0,-390.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2.4828772463362867,2.8973780223999483,2.846545378129562,11,7,0.0,77.0,453.0,62.0,0.0,51.0,-650.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,1.3590779054458153,0.9983032694956364,1.0952805179180274,11,7,0.0,77.0,453.0,62.0,0.0,51.0,-650.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,-0.1254682204479564,0.3333256026091362,0.3203322254282028,11,7,0.0,122.0,72.0,28.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,-1.6491005373514156,-1.5072709904138577,-1.5648237297632477,11,7,0.0,69.0,42.0,-395.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,-2.6155892448830684,-2.1842412685397647,-2.2289073214949866,11,7,0.0,0.0,421.0,-673.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2.166807564250292,2.173138109771457,2.140420318190607,11,8,0.0,185.0,232.0,48.0,0.0,0.0,-513.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-1.7025975040879755,-1.987280275595112,-1.9303699940692385,11,8,0.0,0.0,82.0,-664.0,0.0,0.0,488.0,0.0,0.0,86.0,0.0,7.0,0.0
3,3,-1.2987193559708885,-1.1417434203687409,-1.1988785215062876,11,8,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,-179.0,0.0,0.0,0.0
7,7,4.014871358882758,3.6667872588713664,3.755688314848854,11,8,0.0,0.0,163.0,20.0,41.0,46.0,-271.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-2.076089089539394,-1.6433939304956624,-1.687450018316838,11,8,244.0,16.0,48.0,-507.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-2.4012539975668545,-2.1182367925527643,-2.183237579876078,11,8,0.0,88.0,-509.0,159.0,148.0,0.0,45.0,0.0,0.0,0.0,0.0,68.0,0.0
8,8,-5.77109645331096,-5.840536069007555,-5.8556814315900425,11,8,0.0,58.0,0.0,0.0,0.0,18.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,4.87593166239121,5.195803597771231,5.2601538064352695,11,8,0.0,-662.0,23.0,289.0,79.0,5.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-1.1116775746857286,-1.1945233674693014,-1.2061904006195905,11,8,0.0,-662.0,23.0,289.0,79.0,5.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1.5339918199467348,1.1582311953746824,1.2667646196312887,11,8,-113.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,1.0229451482907308,0.710471932731366,0.820708330372085,11,9,0.0,89.0,63.0,38.0,0.0,0.0,-374.0,183.0,0.0,0.0,0.0,0.0,0.0
9,9,1.1747385272687154,1.6030216153045558,1.6249470480741337,11,9,0.0,130.0,84.0,0.0,0.0,0.0,-484.0,0.0,0.0,0.0,297.0,0.0,0.0
12,12,1.0664377020327436,1.000371253070668,0.9843685039662802,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0
7,7,6.064639184423797,5.85390551346913,5.948166851450267,11,9,-511.0,0.0,185.0,128.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,-6.6016304922946745,-6.798543787865626,-6.709140424631144,11,9,0.0,36.0,10.0,0.0,0.0,0.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,-1.6965389601848386,-1.8313915943710413,-1.8284617203544824,11,9,0.0,0.0,167.0,22.0,152.0,0.0,-342.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1.378868114274141,1.7826725394196927,1.728912578777695,11,10,0.0,0.0,27.0,229.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,-2.0124639490493337,-1.9284943692347696,-1.8248139352540989,11,10,0.0,180.0,-649.0,133.0,183.0,26.0,40.0,0.0,0.0,154.0,0.0,0.0,0.0
4,4,1.050412583317879,0.7817052697280502,0.8317654147031988,11,10,0.0,180.0,-649.0,133.0,183.0,26.0,40.0,0.0,0.0,154.0,0.0,0.0,0.0
1,1,3.255000877998029,3.401654968173503,3.345721562240101,11,10,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,-147.0,0.0,0.0,0.0
9,9,-0.4032656723785521,-0.1633445730234086,-0.227221118922003,11,10,0.0,34.0,147.0,132.0,-403.0,0.0,0.0,0.0,0.0,69.0,20.0,0.0,0.0
10,10,-1.5056000246142105,-1.6681644023518487,-1.5539101237527575,11,10,0.0,34.0,147.0,132.0,-403.0,0.0,0.0,0.0,0.0,69.0,20.0,0.0,0.0
8,8,3.4474662630967003,3.296980939675094,3.304657605833228,11,10,48.0,-562.0,8.0,145.0,256.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
9,9,-1.5562322296290034,-1.2913240293645742,-1.3560806438189132,11,10,0.0,178.0,12.0,99.0,-365.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,-1.6992087768975497,-2.105474160160284,-2.001360795012914,11,10,0.0,178.0,12.0,99.0,-365.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-1.4319867964132411,-1.031973916068452,-1.086638691171629,11,10,0.0,133.0,-498.0,59.0,202.0,0.0,0.0,35.0,68.0,0.0,0.0,0.0,0.0
0,0,1.977389715780476,2.0506087064564014,2.005280303325847,11,10,0.0,221.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,-1.938003807901481,-2.17959852077675,-2.140435378270425,11,11,0.0,385.0,26.0,0.0,0.0,0.0,-550.0,0.0,0.0,0.0,12.0,0.0,0.0
6,6,1.843361236659448,2.5137356131281905,2.18620349482076,11,11,0.0,0.0,0.0,14.0,0.0,0.0,0.0,191.0,0.0,-374.0,168.0,0.0,0.0
7,7,-0.8106030059470442,-0.3549458855997187,-0.3813364308132492,11,11,0.0,0.0,0.0,14.0,0.0,0.0,0.0,191.0,0.0,-374.0,168.0,0.0,0.0
11,11,1.3757203203471562,1.2009336508454425,1.2163423140963658,11,11,0.0,79.0,72.0,98.0,222.0,52.0,0.0,0.0,0.0,-537.0,0.0,0.0,0.0
2,2,-1.458772829628998,-1.193864629364569,-1.258621243818908,11,11,0.0,94.0,29.0,112.0,214.0,0.0,26.0,-503.0,0.0,0.0,0.0,0.0,0.0
3,3,-3.918868108606972,-3.512310957760988,-3.4785494096620937,11,11,0.0,94.0,29.0,112.0,214.0,0.0,26.0,-503.0,0.0,0.0,0.0,0.0,0.0
4,4,0.5025594459358729,0.6284096678488567,0.5751209564527358,11,11,40.0,115.0,-657.0,51.0,123.0,84.0,0.0,0.0,0.0,0.0,54.0,53.0,243.0
2,2,0.7719575977234285,1.479666593005362,1.1380701298043334,11,11,0.0,141.0,-480.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0
9,9,3.4565928005264084,3.765631076459414,3.700935502027989,11,11,0.0,111.0,32.0,23.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,-2.314337952557807,-2.553351476335237,-2.5151832247123167,11,11,0.0,247.0,200.0,0.0,-444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,-6.486730759527035,-5.789723962797197,-6.127623514058627,11,12,0.0,348.0,-549.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2.3387705019850387,2.072310222125324,2.184586046862336,11,12,0.0,4.0,220.0,-578.0,6.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.97139840965977,0.7906823840946231,0.808045685708592,11,12,0.0,0.0,0.0,34.0,0.0,0.0,0.0,126.0,0.0,-161.0,0.0,0.0,0.0
2,2,-1.4067107612907392,-0.9515595215413128,-0.9787386941321046,11,12,0.0,86.0,44.0,13.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-0.0121450288758495,0.0645988334745908,0.0186822089930132,11,12,0.0,249.0,6.0,-684.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.8339601199944155,1.1778394965955528,1.1150035874870383,11,12,0.0,249.0,6.0,-684.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,-3.380249409407824,-3.257884354885832,-3.3107015169546656,11,12,0.0,0.0,55.0,0.0,0.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,-0.9688757703287364,-0.3208624918646734,-0.0769859939241257,11,12,0.0,168.0,-671.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,-2.963989977746081,-3.164967009926088,-3.140711451251903,11,13,0.0,0.0,0.0,-602.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,-6.110010941965783,-5.44606859768578,-5.770893210823601,11,13,0.0,118.0,92.0,-671.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2.272954723007075,1.9433688605518,2.0218595157183046,11,13,0.0,0.0,-547.0,75.0,0.0,0.0,0.0,211.0,0.0,260.0,0.0,0.0,0.0
2,2,0.1831553710287892,0.6294830476213491,0.4144164101391538,11,13,0.0,0.0,102.0,54.0,35.0,47.0,-239.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,-4.183752905193884,-3.806518363789692,-3.8655061425471473,11,13,0.0,29.0,102.0,-616.0,73.0,0.0,294.0,0.0,0.0,117.0,0.0,0.0,0.0
7,7,-1.3494297506510406,-1.6109806860675064,-1.5638803639737802,11,13,0.0,0.0,-505.0,78.0,91.0,67.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,-1.055724276544808,-0.6622412709296128,-0.622580363739047,11,13,70.0,93.0,74.0,41.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,-3.875422086126292,-3.770544497742435,-3.8208748804025694,11,13,0.0,0.0,237.0,0.0,33.0,0.0,-236.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,-1.3421730136217604,-1.5079538852280052,-1.4954621416505915,11,15,95.0,104.0,-697.0,58.0,94.0,0.0,26.0,0.0,0.0,106.0,181.0,0.0,53.0
5,5,3.8164979681115057,4.212262440198316,4.250942665080132,11,15,359.0,-704.0,8.0,113.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3.346313348948528,2.9607625711224728,3.0861768862868786,11,15,0.0,-358.0,27.0,60.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,-2.416875787279878,-2.4761714565320574,-2.493873756052068,11,15,-555.0,166.0,180.0,87.0,0.0,48.0,34.0,33.0,0.0,0.0,0.0,12.0,0.0
8,8,-3.265843380758753,-2.820452179733138,-2.857286567145934,11,16,634.0,-628.0,96.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,5.136198355517351,5.515132931427516,5.560646492812055,11,16,0.0,0.0,145.0,20.0,0.0,0.0,-319.0,0.0,161.0,0.0,0.0,0.0,0.0
4,4,1.5785146596836055,1.837262299240706,1.7726664520681226,11,16,125.0,0.0,33.0,0.0,0.0,0.0,-398.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,-4.075294649144709,-4.458711487567399,-4.330293283879072,11,16,0.0,5.0,79.0,400.0,0.0,0.0,-485.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0518664677110791,0.4729164864685629,0.4242089311403418,11,16,0.0,17.0,21.0,33.0,378.0,0.0,0.0,0.0,0.0,0.0,-450.0,0.0,0.0
5,5,-3.3213663956600925,-3.0657212126190103,-3.1302218330825013,11,16,0.0,17.0,21.0,33.0,378.0,0.0,0.0,0.0,0.0,0.0,-450.0,0.0,0.0
8,8,3.5139616695701363,3.1687158715790105,3.2559326837139224,11,16,-263.0,14.0,171.0,37.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,-0.1461101203525743,-0.3382404222921309,-0.3485455311560059,11,16,381.0,-636.0,82.0,41.0,18.0,74.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0
10,10,-0.1662563109141501,0.2608626570573165,0.2144151509372278,11,16,0.0,185.0,203.0,20.0,34.0,0.0,11.0,0.0,0.0,-284.0,0.0,0.0,0.0
9,9,-0.6078642869271391,-0.9929245889765212,-0.8727607676975992,11,16,78.0,189.0,-492.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.3818042410164395,0.7147781140427867,0.7754721925232246,11,16,175.0,-308.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,-1.0499930579253345,-1.4279148977782938,-1.2969776475352006,11,16,0.0,64.0,-543.0,21.0,0.0,0.0,81.0,242.0,0.0,156.0,0.0,0.0,0.0
