,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
16,16,2018_11_01_12_23,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.082535068365057,2.0702874188689773,-6.910176859630429,,,,
17,17,2018_11_01_12_24,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,5.900465813773782,1.8872475781769344,-7.089763411422148,,,,
18,18,2018_11_01_12_25,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,5.662823211646094,1.8305642507278843,-7.298718483370658,,,,
19,19,2018_11_01_12_26,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.097520727787128,1.7489422021439769,-6.933209074621823,,,,
20,20,2018_11_01_12_27,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,2.591217940634492,3.256551326487118,2.328248538986569,,,,
21,21,2018_11_01_12_28,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,4.0,2.7744454355091825,1.8073407603639349,3.811680419793394,,,,
22,22,2018_11_01_12_29,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,2.0,1.265678773894513,-9.7936899056887,-0.4131740653264837,,,,
23,23,2018_11_01_12_30,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,2.0,5.191129294466405,-2.4036203052186957,-4.646388089465179,,,,
24,24,2018_11_01_12_31,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.083993496864508,1.0709776391937296,-7.119105084770426,,,,
25,25,2018_11_01_12_32,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.094715111478157,1.247261138426657,-7.081065989585675,,,,
26,26,2018_11_01_12_33,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.4098356300112185,1.1783252763045962,-6.820309857950715,,,,
27,27,2018_11_01_12_34,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.575303643897003,1.308660468219481,-6.646144416685319,,,,
28,28,2018_11_01_12_35,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.509314221892497,1.3203821424188182,-6.711865537569975,,,,
29,29,2018_11_01_12_36,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.056389325475918,1.241137561399779,-7.10970802082865,,,,
30,30,2018_11_01_12_37,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.330331022508396,1.2770237795184838,-6.887787303695407,,,,
31,31,2018_11_01_12_38,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.391274514389711,1.1875669634490502,-6.851812557166829,,,,
32,32,2018_11_01_12_39,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,5.988612518130918,1.4489730000839467,-7.13575999949635,,,,
33,33,2018_11_01_12_40,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,2.0,6.58894491762486,-0.8903186225307962,-4.9086161573868985,,,,
34,34,2018_11_01_12_41,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,1.0847556858470313,-3.239580121819708,4.31327233124468,,,,
35,35,2018_11_01_12_42,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,1.6859628022641335,-9.768602893995505,0.274233904062228,,,,
36,36,2018_11_01_12_43,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,1.8113087620067208,-9.977059418868985,-0.1476696963401455,,,,
37,37,2018_11_01_12_44,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,1.4633264255050398,-5.780061372125417,2.4402800316864512,,,,
38,38,2018_11_01_12_45,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,0.0869258738899217,-2.34553749960246,4.272849714015792,,,,
39,39,2018_11_01_12_46,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,3.0,0.185766457995185,-9.656748573852209,-0.6987650527426081,,,,
40,40,2018_11_01_12_47,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,3.0,0.4550484626972005,-9.724885415509537,-0.0197903689377937,,,,
41,41,2018_11_01_12_48,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,3.0,0.890206270693901,-9.658030207554576,0.1713247613228883,,,,
42,42,2018_11_01_12_49,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,3.0,0.6083776960795265,-9.643884937570318,-0.5941727206884692,,,,
43,43,2018_11_01_12_50,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,3.0,0.6513113410586786,-9.594083793169078,-0.725390828942719,,,,
44,44,2018_11_01_12_51,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,3.0,0.9156011820789496,-9.55032594372904,-0.601699350539193,,,,
45,45,2018_11_01_12_52,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,3.0,1.0370110707125428,-9.599829358118692,-0.3123628927166856,,,,
46,46,2018_11_01_12_53,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,1.0241740642676402,-9.803859174188116,-0.6309793886688688,,,,
47,47,2018_11_01_12_54,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,1.4444301984222836,-9.853019385722254,-0.8192794698754762,,,,
48,48,2018_11_01_12_55,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,0.7810912199740357,-9.310250566144354,0.1619382021475112,,,,
49,49,2018_11_01_12_56,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,4.0,0.217652506749608,-2.004405312726764,4.697663690216359,,,,
50,50,2018_11_01_12_57,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,2.0,3.1416537835296783,-7.015965439651279,-2.160367555317241,,,,
51,51,2018_11_01_12_58,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,3.0,6.829598441153407,1.823078686611428,-6.297810877715517,,,,
52,52,2018_11_01_12_59,travel,2.0,1.0,1.0,3.0,3.0,,workplace,4.0,4.0,4.0,6.899057663570238,2.201159637802458,-6.072246860940107,,,,
53,53,2018_11_01_01_00,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,2.9774431773253047,4.706469684957449,1.5869307804423236,,,,
54,54,2018_11_01_01_01,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,2.0,-0.0618202712565511,5.818223793561023,8.053160146472557,,,,
55,55,2018_11_01_01_02,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,5.7285328538754285,4.599348548224389,4.676797022825975,,,,
56,56,2018_11_01_01_03,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,7.94527680895354,5.219868895579175,2.412978154616673,,,,
57,57,2018_11_01_01_04,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,5.9335449056690965,5.874116282138843,1.9265669143421067,,,,
58,58,2018_11_01_01_05,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,7.574069119848814,5.7526983146136415,1.4119797838197037,,,,
59,59,2018_11_01_01_06,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,7.962554703861219,5.4855220109680936,1.4704531597090076,,,,
60,60,2018_11_01_01_07,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,8.048777775587897,5.3292516502239735,1.5185043152558837,,,,
61,61,2018_11_01_01_08,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,8.18264652967526,5.105984956830911,1.6550596003919371,,,,
62,62,2018_11_01_01_09,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,8.126722006774907,5.242339251735706,1.4345276426707725,,,,
63,63,2018_11_01_01_10,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,8.06772728358545,5.104725087731084,1.9291491391988824,,,,
64,64,2018_11_01_01_11,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,8.209693464781632,4.9066978431131,1.965115442956328,,,,
65,65,2018_11_01_01_12,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,8.308416159910413,4.878551920940645,1.6196345342138865,,,,
66,66,2018_11_01_01_13,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,8.460109033594614,4.711488705543113,1.3242469131410963,,,,
67,67,2018_11_01_01_14,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,8.548519513989943,4.435347726692771,1.658690740307779,,,,
68,68,2018_11_01_01_15,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,5.296883036125419,6.652137977659566,4.864102265246355,,,,
69,69,2018_11_01_01_16,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,5.345155131337436,6.642675791941816,5.014975670285391,,,,
70,70,2018_11_01_01_17,work,3.0,2.0,1.0,4.0,,1.0,workplace,3.0,3.0,3.0,1.6284566200802737,2.3474490684120943,8.105760186545329,,,,
71,71,2018_11_01_01_18,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,-0.2704750818135505,2.8026262198975327,9.2156965973908,,,,
72,72,2018_11_01_01_19,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,0.0493505841215005,-0.2945028931315783,9.954923080571072,,,,
73,73,2018_11_01_01_20,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,0.1315175488572235,-0.4110600313325857,10.051238071108616,,,,
74,74,2018_11_01_01_21,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,2.0,3.4991378337172403,-5.118325978194531,2.1203900021227367,,,,
75,75,2018_11_01_01_22,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,2.0,3.6737623428484,-9.01341692668235,0.3022615930168066,,,,
76,76,2018_11_01_01_23,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,3.1449547500089587,-9.058683747565723,-0.8680990801432563,,,,
77,77,2018_11_01_01_24,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,2.420751197727736,-9.089913348291336,-1.2648580953753523,,,,
78,78,2018_11_01_01_25,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,-0.1576848551394177,-9.584305953807416,-1.103430721446251,,,,
79,79,2018_11_01_01_26,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,-0.3741017235123803,-9.601239886554623,-0.6674880034453775,,,,
80,80,2018_11_01_01_27,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,0.7733177780809181,-9.594896793284834,-1.2744434646267508,,,,
81,81,2018_11_01_01_28,work,3.0,0.0,,3.0,,,workplace,4.0,4.0,3.0,1.0398556906427794,-9.5816194619261,-0.5592257086284995,,,,
82,82,2018_11_01_01_29,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,2.0,0.952208601960246,-2.129474847739651,4.065929575159404,,,,
83,83,2018_11_01_01_30,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.0389667710492749,-0.2886098883857799,9.786444236248578,,,,
84,84,2018_11_01_01_31,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.1535102653105756,-0.9104531453049816,9.986077973698904,,,,
85,85,2018_11_01_01_32,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.1621193605940634,-0.901037568863386,9.986157664333664,,,,
86,86,2018_11_01_01_33,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.1627869487737949,-0.8892542331858931,9.990291872340396,,,,
87,87,2018_11_01_01_34,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.1619026989082247,-0.8863369505819833,9.991161135422471,,,,
88,88,2018_11_01_01_35,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.1612890760738652,-0.8860582735982149,9.993768342473375,,,,
89,89,2018_11_01_01_36,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.0098422338829787,-0.7203276185106451,10.004493524300075,,,,
90,90,2018_11_01_01_37,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2928598275126042,-0.4487766776414594,10.022395888515382,,,,
91,91,2018_11_01_01_38,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2923873633799659,-0.4525697708729738,10.024197603245618,,,,
92,92,2018_11_01_01_39,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2884677941041434,-0.4614750043393088,10.024395159574423,,,,
93,93,2018_11_01_01_40,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2892238581410976,-0.4588287819876855,10.026537342665112,,,,
94,94,2018_11_01_01_41,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2865083723055404,-0.4547321894739816,10.02552130106321,,,,
95,95,2018_11_01_01_42,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2858430197704369,-0.4588904465397557,10.029076293952937,,,,
96,96,2018_11_01_01_43,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2879878813717804,-0.4589467494848852,10.03056967189246,,,,
97,97,2018_11_01_01_44,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2868430617189251,-0.4594454296640573,10.03012997312426,,,,
98,98,2018_11_01_01_45,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2880518085730275,-0.4607719549132645,10.03300268494681,,,,
99,99,2018_11_01_01_46,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2874945633426651,-0.4645153453807414,10.03491302239639,,,,
100,100,2018_11_01_01_47,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.286888639927212,-0.459383764680854,10.033256099104106,,,,
101,101,2018_11_01_01_48,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2883605511478163,-0.4587751601567788,10.034567138297811,,,,
102,102,2018_11_01_01_49,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.2889396630963044,-0.4586169765621519,10.03340624188126,,,,
103,103,2018_11_01_01_50,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,-0.286703645358343,-0.4586062523180328,10.036390283314615,,,,
104,104,2018_11_01_01_51,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.4586893689501692,0.319637997710862,10.027609771836453,,,,
105,105,2018_11_01_01_52,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5826963902465004,0.5321244134173642,10.010957386554566,,,,
106,106,2018_11_01_01_53,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5760079359406517,0.5332152695296714,10.010311452967482,,,,
107,107,2018_11_01_01_54,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5736164154759235,0.5325128278667371,10.010488415453478,,,,
108,108,2018_11_01_01_55,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5716163319652858,0.5313921362429979,10.009348957726742,,,,
109,109,2018_11_01_01_56,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5722477066648011,0.533618932820366,10.006815196978136,,,,
110,110,2018_11_01_01_57,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5706699115397541,0.5354915036898068,10.0068743253079,,,,
111,111,2018_11_01_01_58,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5697797940369541,0.5314457573068281,10.00804594652852,,,,
112,112,2018_11_01_01_59,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5710754576470594,0.5292621002072785,10.007590740616198,,,,
113,113,2018_11_01_02_00,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5670182845856657,0.5311320723292228,10.009150562709936,,,,
114,114,2018_11_01_02_01,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5635436093840985,0.5200511767357184,10.013239198768174,,,,
115,115,2018_11_01_02_02,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5665571394232924,0.5295341492609138,10.010062129339248,,,,
116,116,2018_11_01_02_03,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.569071989826426,0.5276949304031323,10.00664643505036,,,,
117,117,2018_11_01_02_04,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5664981561422168,0.5253623922676334,10.006683968365,,,,
118,118,2018_11_01_02_05,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5644283645520705,0.5257162941657298,10.008665284994356,,,,
119,119,2018_11_01_02_06,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5627768213829776,0.5329846963493811,10.010139873740158,,,,
120,120,2018_11_01_02_07,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5650745037458015,0.5305422353639383,10.00968946080626,,,,
121,121,2018_11_01_02_08,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5630583346248591,0.5270461094232882,10.01004871948484,,,,
122,122,2018_11_01_02_09,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5621934384593822,0.530635580711482,10.009125165826294,,,,
123,123,2018_11_01_02_10,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5600181194795734,0.5307946583659733,10.0115500100727,,,,
124,124,2018_11_01_02_11,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5588249150839842,0.5279469516741283,10.012708349384056,,,,
125,125,2018_11_01_02_12,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5612935983044198,0.5310009865864538,10.009824367095652,,,,
126,126,2018_11_01_02_13,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5609854468102954,0.531566376412979,10.009467969222117,,,,
127,127,2018_11_01_02_14,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.561473817810749,0.529153436942885,10.011815547592338,,,,
128,128,2018_11_01_02_15,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5633157173964151,0.5302151435666251,10.006753666853273,,,,
129,129,2018_11_01_02_16,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.560647820369332,0.5305856516508076,10.007530653049749,,,,
130,130,2018_11_01_02_17,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5621912560324552,0.5310358206435327,10.00786827839951,,,,
131,131,2018_11_01_02_18,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5627392860862268,0.5332072262485956,10.006686651735668,,,,
132,132,2018_11_01_02_19,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5606992423025199,0.5304773096190434,10.008288205602184,,,,
133,133,2018_11_01_02_20,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5612432458510622,0.530048917519594,10.00949105263154,,,,
134,134,2018_11_01_02_21,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5445401378779362,0.532097260251956,10.011909381298969,,,,
135,135,2018_11_01_02_22,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5371242803751366,0.535290423510635,10.010062120380704,,,,
136,136,2018_11_01_02_23,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5380107597929455,0.5381099040234998,10.008425630665885,,,,
137,137,2018_11_01_02_24,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5373789829843201,0.5378749819932784,10.008228259238484,,,,
138,138,2018_11_01_02_25,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.5351724559686422,0.5384567755879035,10.007807346584508,,,,
139,139,2018_11_01_02_26,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.4313504273348269,0.5589321586562175,10.013097104143322,,,,
140,140,2018_11_01_02_27,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3485352084722987,0.5732820234023513,10.01685824958027,,,,
141,141,2018_11_01_02_28,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3467973001679718,0.5739622740369554,10.016585171332531,,,,
142,142,2018_11_01_02_29,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3425558361814095,0.5695197293617008,10.02095801287792,,,,
143,143,2018_11_01_02_30,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3448374332250833,0.5754234613045924,10.01889894960803,,,,
144,144,2018_11_01_02_31,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3437757268421041,0.575101731545353,10.018220634378444,,,,
145,145,2018_11_01_02_32,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3444969360470318,0.575149991578949,10.018167005599055,,,,
146,146,2018_11_01_02_33,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3427473229210956,0.577577385125912,10.017903279518702,,,,
147,147,2018_11_01_02_34,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3416138618242857,0.5744717556631237,10.019277903189645,,,,
148,148,2018_11_01_02_35,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3443843309350496,0.5737772795240766,10.016349247480353,,,,
149,149,2018_11_01_02_36,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3424914909574459,0.5691658269540872,10.01627415929446,,,,
150,150,2018_11_01_02_37,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3429107769557902,0.5683837568214883,10.018423127588097,,,,
151,151,2018_11_01_02_38,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3430455109971975,0.5774680430196091,10.017698688515358,,,,
152,152,2018_11_01_02_39,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3460600044232915,0.581614068605825,10.014654804031302,,,,
153,153,2018_11_01_02_40,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3437998563269872,0.5761527141993287,10.016239322508344,,,,
154,154,2018_11_01_02_41,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,3.0,0.3423869289781624,0.57532158012318,10.018030269876782,,,,
155,155,2018_11_01_02_42,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,2.0,1.4157480336370665,-7.670129458194845,1.4285220347849394,,,,
156,156,2018_11_01_02_43,study,3.0,0.0,,0.0,,,workplace,5.0,5.0,2.0,1.6294084019574442,-9.37892435425531,-1.875894554334713,,,,
157,157,2018_11_01_02_44,travel,2.0,1.0,1.0,0.0,,,workplace,6.0,6.0,3.0,1.1040019281012874,-6.551890383510915,0.5593251148666751,,,,
158,158,2018_11_01_02_45,travel,2.0,1.0,1.0,0.0,,,workplace,6.0,6.0,3.0,0.5195270272010073,-4.091239196346949,4.521556475897151,,,,
159,159,2018_11_01_02_46,travel,2.0,1.0,1.0,0.0,,,workplace,6.0,6.0,2.0,1.0967400925060495,-9.952036942200415,-0.1095876780461367,,,,
160,160,2018_11_01_02_47,travel,2.0,1.0,1.0,0.0,,,workplace,6.0,6.0,2.0,1.021827064914045,-9.824740004938782,-0.7068528763890878,,,,
161,161,2018_11_01_02_48,study,3.0,0.0,,0.0,,,workplace,6.0,6.0,2.0,0.9166023468100866,-2.0767962735039847,4.010988641886001,,,,
162,162,2018_11_01_02_49,study,3.0,0.0,,0.0,,,workplace,6.0,6.0,3.0,-0.7005144572166822,0.2236393492429968,9.843915781298922,,,,
163,163,2018_11_01_02_50,study,3.0,0.0,,0.0,,,workplace,6.0,6.0,3.0,-0.7956444346248583,-0.3004334405039179,10.01413466293386,,,,
164,164,2018_11_01_02_51,study,3.0,0.0,,0.0,,,workplace,6.0,6.0,3.0,-0.8011092749075595,-0.2978333284089635,10.015037594957994,,,,
165,165,2018_11_01_02_52,study,3.0,0.0,,0.0,,,workplace,6.0,6.0,3.0,-0.8002263934714421,-0.2982430003583412,10.017617435610273,,,,
166,166,2018_11_01_02_53,study,3.0,0.0,,0.0,,,workplace,6.0,6.0,3.0,-0.8032345594400908,-0.3002404018533017,10.016306360022355,,,,
167,167,2018_11_01_02_54,study,3.0,0.0,,0.0,,,workplace,6.0,6.0,3.0,-0.806389101801901,-0.2993756983771673,10.01918947565744,,,,
168,168,2018_11_01_02_55,study,3.0,0.0,,0.0,,,workplace,6.0,6.0,3.0,-0.8055369957862304,-0.3074171064633452,10.02048638500271,,,,
