,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,,,,Class
36,36,36,36,2018_11_15_10_14,study,3,0,,3,3,,workplace,4,6,3,1.224745452,1.110392149,10.27010227,-0.726407878,-0.06554362,0.56394043,,,,
37,37,37,37,2018_11_15_10_14,study,3,0,,3,3,,workplace,4,6,3,1.224745452,1.110392149,10.27010227,-0.726407878,-0.06554362,0.56394043,,,,
38,38,38,38,2018_11_15_10_14,study,3,0,,3,3,,workplace,4,6,3,1.224745452,1.110392149,10.27010227,-0.439314779,0.505997721,0.359350586,,,,
39,39,39,39,2018_11_15_10_14,study,3,0,,3,3,,workplace,4,6,3,1.224745452,1.110392149,10.27010227,-0.439314779,0.505997721,0.359350586,,,,
40,40,40,40,2018_11_15_10_15,study,3,0,,3,3,,workplace,4,6,3,-0.171902341,0.159946087,10.42916041,-0.500968424,0.166780599,0.54140625,,,,
41,41,41,41,2018_11_15_10_15,study,3,0,,3,3,,workplace,4,6,3,-0.171902341,0.159946087,10.42916041,-0.500968424,0.166780599,0.54140625,,,,
42,42,42,42,2018_11_15_10_15,study,3,0,,3,3,,workplace,4,6,3,-0.171902341,0.159946087,10.42916041,0.012312826,0.746704102,0.468676758,,,,
43,43,43,43,2018_11_15_10_15,study,3,0,,3,3,,workplace,4,6,3,-0.171902341,0.159946087,10.42916041,0.012312826,0.746704102,0.468676758,,,,
44,44,44,44,2018_11_15_10_15,study,3,0,,3,3,,workplace,4,6,3,1.241376158,1.055633824,10.27249111,-0.500968424,0.166780599,0.54140625,,,,
45,45,45,45,2018_11_15_10_15,study,3,0,,3,3,,workplace,4,6,3,1.241376158,1.055633824,10.27249111,-0.500968424,0.166780599,0.54140625,,,,
46,46,46,46,2018_11_15_10_15,study,3,0,,3,3,,workplace,4,6,3,1.241376158,1.055633824,10.27249111,0.012312826,0.746704102,0.468676758,,,,
47,47,47,47,2018_11_15_10_15,study,3,0,,3,3,,workplace,4,6,3,1.241376158,1.055633824,10.27249111,0.012312826,0.746704102,0.468676758,,,,
48,48,48,48,2018_11_15_10_16,study,3,0,,3,3,,workplace,4,6,3,-0.160832444,0.150933908,10.41757213,-0.862076823,0.213102214,0.257527669,,,,
49,49,49,49,2018_11_15_10_16,study,3,0,,3,3,,workplace,4,6,3,-0.160832444,0.150933908,10.41757213,-0.862076823,0.213102214,0.257527669,,,,
50,50,50,50,2018_11_15_10_16,study,3,0,,3,3,,workplace,4,6,3,-0.160832444,0.150933908,10.41757213,-0.249723307,0.855973307,0.290348307,,,,
51,51,51,51,2018_11_15_10_16,study,3,0,,3,3,,workplace,4,6,3,-0.160832444,0.150933908,10.41757213,-0.249723307,0.855973307,0.290348307,,,,
52,52,52,52,2018_11_15_10_16,study,3,0,,3,3,,workplace,4,6,3,0.978601119,0.835219811,10.30802875,-0.862076823,0.213102214,0.257527669,,,,
53,53,53,53,2018_11_15_10_16,study,3,0,,3,3,,workplace,4,6,3,0.978601119,0.835219811,10.30802875,-0.862076823,0.213102214,0.257527669,,,,
54,54,54,54,2018_11_15_10_16,study,3,0,,3,3,,workplace,4,6,3,0.978601119,0.835219811,10.30802875,-0.249723307,0.855973307,0.290348307,,,,
55,55,55,55,2018_11_15_10_16,study,3,0,,3,3,,workplace,4,6,3,0.978601119,0.835219811,10.30802875,-0.249723307,0.855973307,0.290348307,,,,
56,56,56,56,2018_11_15_10_17,study,3,0,,3,3,,workplace,4,6,3,-0.163073824,0.150518341,10.41523959,-0.949568685,0.316918945,0.194246419,,,,
57,57,57,57,2018_11_15_10_17,study,3,0,,3,3,,workplace,4,6,3,-0.163073824,0.150518341,10.41523959,-0.949568685,0.316918945,0.194246419,,,,
58,58,58,58,2018_11_15_10_17,study,3,0,,3,3,,workplace,4,6,3,-0.163073824,0.150518341,10.41523959,-0.260291819,0.788170922,0.192898319,,,,
59,59,59,59,2018_11_15_10_17,study,3,0,,3,3,,workplace,4,6,3,-0.163073824,0.150518341,10.41523959,-0.260291819,0.788170922,0.192898319,,,,
60,60,60,60,2018_11_15_10_17,study,3,0,,3,3,,workplace,4,6,3,0.315031341,0.564436069,10.37401739,-0.949568685,0.316918945,0.194246419,,,,
61,61,61,61,2018_11_15_10_17,study,3,0,,3,3,,workplace,4,6,3,0.315031341,0.564436069,10.37401739,-0.949568685,0.316918945,0.194246419,,,,
62,62,62,62,2018_11_15_10_17,study,3,0,,3,3,,workplace,4,6,3,0.315031341,0.564436069,10.37401739,-0.260291819,0.788170922,0.192898319,,,,
63,63,63,63,2018_11_15_10_17,study,3,0,,3,3,,workplace,4,6,3,0.315031341,0.564436069,10.37401739,-0.260291819,0.788170922,0.192898319,,,,
64,64,64,64,2018_11_15_10_18,study,3,0,,3,3,,workplace,4,6,3,-0.164927941,0.148649513,10.41411055,-0.853092448,0.277001953,0.277449544,,,,
65,65,65,65,2018_11_15_10_18,study,3,0,,3,3,,workplace,4,6,3,-0.164927941,0.148649513,10.41411055,-0.853092448,0.277001953,0.277449544,,,,
66,66,66,66,2018_11_15_10_18,study,3,0,,3,3,,workplace,4,6,3,-0.164927941,0.148649513,10.41411055,-0.329036458,0.752701823,0.079532878,,,,
67,67,67,67,2018_11_15_10_18,study,3,0,,3,3,,workplace,4,6,3,-0.164927941,0.148649513,10.41411055,-0.329036458,0.752701823,0.079532878,,,,
68,68,68,68,2018_11_15_10_18,study,3,0,,3,3,,workplace,4,6,3,0.396632258,0.806596348,10.35683049,-0.853092448,0.277001953,0.277449544,,,,
69,69,69,69,2018_11_15_10_18,study,3,0,,3,3,,workplace,4,6,3,0.396632258,0.806596348,10.35683049,-0.853092448,0.277001953,0.277449544,,,,
70,70,70,70,2018_11_15_10_18,study,3,0,,3,3,,workplace,4,6,3,0.396632258,0.806596348,10.35683049,-0.329036458,0.752701823,0.079532878,,,,
71,71,71,71,2018_11_15_10_18,study,3,0,,3,3,,workplace,4,6,3,0.396632258,0.806596348,10.35683049,-0.329036458,0.752701823,0.079532878,,,,
72,72,72,72,2018_11_15_10_19,study,3,0,,3,3,,workplace,4,6,3,-0.163733369,0.150770362,10.41057989,-0.525170898,0.300764974,0.764396159,,,,
73,73,73,73,2018_11_15_10_19,study,3,0,,3,3,,workplace,4,6,3,-0.163733369,0.150770362,10.41057989,-0.525170898,0.300764974,0.764396159,,,,
74,74,74,74,2018_11_15_10_19,study,3,0,,3,3,,workplace,4,6,3,-0.163733369,0.150770362,10.41057989,-0.349926758,0.837613932,0.148071289,,,,
75,75,75,75,2018_11_15_10_19,study,3,0,,3,3,,workplace,4,6,3,-0.163733369,0.150770362,10.41057989,-0.349926758,0.837613932,0.148071289,,,,
76,76,76,76,2018_11_15_10_19,study,3,0,,3,3,,workplace,4,6,3,1.201261542,1.330430401,10.20109308,-0.525170898,0.300764974,0.764396159,,,,
77,77,77,77,2018_11_15_10_19,study,3,0,,3,3,,workplace,4,6,3,1.201261542,1.330430401,10.20109308,-0.525170898,0.300764974,0.764396159,,,,
78,78,78,78,2018_11_15_10_19,study,3,0,,3,3,,workplace,4,6,3,1.201261542,1.330430401,10.20109308,-0.349926758,0.837613932,0.148071289,,,,
79,79,79,79,2018_11_15_10_19,study,3,0,,3,3,,workplace,4,6,3,1.201261542,1.330430401,10.20109308,-0.349926758,0.837613932,0.148071289,,,,
80,80,80,80,2018_11_15_10_20,study,3,0,,3,3,,workplace,4,6,3,-0.163577866,0.152588132,10.40929564,-0.807858911,0.267741988,0.24762246,,,,
81,81,81,81,2018_11_15_10_20,study,3,0,,3,3,,workplace,4,6,3,-0.163577866,0.152588132,10.40929564,-0.807858911,0.267741988,0.24762246,,,,
82,82,82,82,2018_11_15_10_20,study,3,0,,3,3,,workplace,4,6,3,-0.163577866,0.152588132,10.40929564,-0.682210286,0.458870443,0.315388997,,,,
83,83,83,83,2018_11_15_10_20,study,3,0,,3,3,,workplace,4,6,3,-0.163577866,0.152588132,10.40929564,-0.682210286,0.458870443,0.315388997,,,,
84,84,84,84,2018_11_15_10_20,study,3,0,,3,3,,workplace,4,6,3,-0.409180602,1.713915957,10.26195448,-0.807858911,0.267741988,0.24762246,,,,
85,85,85,85,2018_11_15_10_20,study,3,0,,3,3,,workplace,4,6,3,-0.409180602,1.713915957,10.26195448,-0.807858911,0.267741988,0.24762246,,,,
86,86,86,86,2018_11_15_10_20,study,3,0,,3,3,,workplace,4,6,3,-0.409180602,1.713915957,10.26195448,-0.682210286,0.458870443,0.315388997,,,,
87,87,87,87,2018_11_15_10_20,study,3,0,,3,3,,workplace,4,6,3,-0.409180602,1.713915957,10.26195448,-0.682210286,0.458870443,0.315388997,,,,
88,88,88,88,2018_11_15_10_21,study,3,0,,3,3,,workplace,4,6,3,-0.153041338,0.156865095,10.42254855,-0.63824056,-0.10859375,0.421468099,,,,
89,89,89,89,2018_11_15_10_21,study,3,0,,3,3,,workplace,4,6,3,-0.153041338,0.156865095,10.42254855,-0.63824056,-0.10859375,0.421468099,,,,
90,90,90,90,2018_11_15_10_21,study,3,0,,3,3,,workplace,4,6,3,-0.153041338,0.156865095,10.42254855,-0.602254232,0.41155599,-0.157063802,,,,
91,91,91,91,2018_11_15_10_21,study,3,0,,3,3,,workplace,4,6,3,-0.153041338,0.156865095,10.42254855,-0.602254232,0.41155599,-0.157063802,,,,
92,92,92,92,2018_11_15_10_21,study,3,0,,3,3,,workplace,4,6,3,-0.3594359,0.342397648,10.30213037,-0.63824056,-0.10859375,0.421468099,,,,
93,93,93,93,2018_11_15_10_21,study,3,0,,3,3,,workplace,4,6,3,-0.3594359,0.342397648,10.30213037,-0.63824056,-0.10859375,0.421468099,,,,
94,94,94,94,2018_11_15_10_21,study,3,0,,3,3,,workplace,4,6,3,-0.3594359,0.342397648,10.30213037,-0.602254232,0.41155599,-0.157063802,,,,
95,95,95,95,2018_11_15_10_21,study,3,0,,3,3,,workplace,4,6,3,-0.3594359,0.342397648,10.30213037,-0.602254232,0.41155599,-0.157063802,,,,
96,96,96,96,2018_11_15_10_22,study,3,0,,3,3,,workplace,4,6,3,-0.180691889,0.154389166,10.41001616,-0.797477214,0.345670573,0.441471354,,,,
97,97,97,97,2018_11_15_10_22,study,3,0,,3,3,,workplace,4,6,3,-0.180691889,0.154389166,10.41001616,-0.797477214,0.345670573,0.441471354,,,,
98,98,98,98,2018_11_15_10_22,study,3,0,,3,3,,workplace,4,6,3,-0.180691889,0.154389166,10.41001616,-0.614493815,0.537760417,0.192032878,,,,
99,99,99,99,2018_11_15_10_22,study,3,0,,3,3,,workplace,4,6,3,-0.180691889,0.154389166,10.41001616,-0.614493815,0.537760417,0.192032878,,,,
100,100,100,100,2018_11_15_10_22,study,3,0,,3,3,,workplace,4,6,3,-0.246212459,-0.071981641,10.40724378,-0.797477214,0.345670573,0.441471354,,,,
101,101,101,101,2018_11_15_10_22,study,3,0,,3,3,,workplace,4,6,3,-0.246212459,-0.071981641,10.40724378,-0.797477214,0.345670573,0.441471354,,,,
102,102,102,102,2018_11_15_10_22,study,3,0,,3,3,,workplace,4,6,3,-0.246212459,-0.071981641,10.40724378,-0.614493815,0.537760417,0.192032878,,,,
103,103,103,103,2018_11_15_10_22,study,3,0,,3,3,,workplace,4,6,3,-0.246212459,-0.071981641,10.40724378,-0.614493815,0.537760417,0.192032878,,,,
104,104,104,104,2018_11_15_10_23,study,3,0,,3,3,,workplace,4,6,3,-0.182329317,0.154893859,10.40991765,-0.720572917,0.396468099,0.506583659,,,,
105,105,105,105,2018_11_15_10_23,study,3,0,,3,3,,workplace,4,6,3,-0.182329317,0.154893859,10.40991765,-0.720572917,0.396468099,0.506583659,,,,
106,106,106,106,2018_11_15_10_23,study,3,0,,3,3,,workplace,4,6,3,-0.182329317,0.154893859,10.40991765,-0.739672852,0.079825846,0.378759766,,,,
107,107,107,107,2018_11_15_10_23,study,3,0,,3,3,,workplace,4,6,3,-0.182329317,0.154893859,10.40991765,-0.739672852,0.079825846,0.378759766,,,,
108,108,108,108,2018_11_15_10_23,study,3,0,,3,3,,workplace,4,6,3,-0.260474667,-0.069541773,10.40590945,-0.720572917,0.396468099,0.506583659,,,,
109,109,109,109,2018_11_15_10_23,study,3,0,,3,3,,workplace,4,6,3,-0.260474667,-0.069541773,10.40590945,-0.720572917,0.396468099,0.506583659,,,,
110,110,110,110,2018_11_15_10_23,study,3,0,,3,3,,workplace,4,6,3,-0.260474667,-0.069541773,10.40590945,-0.739672852,0.079825846,0.378759766,,,,
111,111,111,111,2018_11_15_10_23,study,3,0,,3,3,,workplace,4,6,3,-0.260474667,-0.069541773,10.40590945,-0.739672852,0.079825846,0.378759766,,,,
112,112,112,112,2018_11_15_10_24,study,3,0,,3,3,,workplace,4,6,3,-0.180653644,0.15591803,10.40502469,-0.93433431,0.354882813,0.13745931,,,,
113,113,113,113,2018_11_15_10_24,study,3,0,,3,3,,workplace,4,6,3,-0.180653644,0.15591803,10.40502469,-0.93433431,0.354882813,0.13745931,,,,
114,114,114,114,2018_11_15_10_24,study,3,0,,3,3,,workplace,4,6,3,-0.180653644,0.15591803,10.40502469,-0.511751302,0.171240234,0.716674805,,,,
115,115,115,115,2018_11_15_10_24,study,3,0,,3,3,,workplace,4,6,3,-0.180653644,0.15591803,10.40502469,-0.511751302,0.171240234,0.716674805,,,,
116,116,116,116,2018_11_15_10_24,study,3,0,,3,3,,workplace,4,6,3,0.458622345,-0.956452734,10.20078576,-0.93433431,0.354882813,0.13745931,,,,
117,117,117,117,2018_11_15_10_24,study,3,0,,3,3,,workplace,4,6,3,0.458622345,-0.956452734,10.20078576,-0.93433431,0.354882813,0.13745931,,,,
118,118,118,118,2018_11_15_10_24,study,3,0,,3,3,,workplace,4,6,3,0.458622345,-0.956452734,10.20078576,-0.511751302,0.171240234,0.716674805,,,,
119,119,119,119,2018_11_15_10_24,study,3,0,,3,3,,workplace,4,6,3,0.458622345,-0.956452734,10.20078576,-0.511751302,0.171240234,0.716674805,,,,
120,120,120,120,2018_11_15_10_25,study,3,0,,3,3,,workplace,4,6,3,-0.178056673,0.156664535,10.40040654,-0.929549154,0.214558919,0.160961914,,,,
121,121,121,121,2018_11_15_10_25,study,3,0,,3,3,,workplace,4,6,3,-0.178056673,0.156664535,10.40040654,-0.929549154,0.214558919,0.160961914,,,,
122,122,122,122,2018_11_15_10_25,study,3,0,,3,3,,workplace,4,6,3,-0.178056673,0.156664535,10.40040654,-0.431258138,0.057617188,0.626000977,,,,
123,123,123,123,2018_11_15_10_25,study,3,0,,3,3,,workplace,4,6,3,-0.178056673,0.156664535,10.40040654,-0.431258138,0.057617188,0.626000977,,,,
124,124,124,124,2018_11_15_10_25,study,3,0,,3,3,,workplace,4,6,3,0.432160112,0.017906913,10.30639072,-0.929549154,0.214558919,0.160961914,,,,
125,125,125,125,2018_11_15_10_25,study,3,0,,3,3,,workplace,4,6,3,0.432160112,0.017906913,10.30639072,-0.929549154,0.214558919,0.160961914,,,,
126,126,126,126,2018_11_15_10_25,study,3,0,,3,3,,workplace,4,6,3,0.432160112,0.017906913,10.30639072,-0.431258138,0.057617188,0.626000977,,,,
127,127,127,127,2018_11_15_10_25,study,3,0,,3,3,,workplace,4,6,3,0.432160112,0.017906913,10.30639072,-0.431258138,0.057617188,0.626000977,,,,
128,128,128,128,2018_11_15_10_26,study,3,0,,3,3,,workplace,4,6,3,-0.179999461,0.156625834,10.40255809,-0.744344076,-0.064916992,0.502530924,,,,
129,129,129,129,2018_11_15_10_26,study,3,0,,3,3,,workplace,4,6,3,-0.179999461,0.156625834,10.40255809,-0.744344076,-0.064916992,0.502530924,,,,
130,130,130,130,2018_11_15_10_26,study,3,0,,3,3,,workplace,4,6,3,-0.179999461,0.156625834,10.40255809,-0.360555013,-0.075105794,0.791178385,,,,
131,131,131,131,2018_11_15_10_26,study,3,0,,3,3,,workplace,4,6,3,-0.179999461,0.156625834,10.40255809,-0.360555013,-0.075105794,0.791178385,,,,
132,132,132,132,2018_11_15_10_26,study,3,0,,3,3,,workplace,4,6,3,-0.321310711,0.303692495,10.38851797,-0.744344076,-0.064916992,0.502530924,,,,
133,133,133,133,2018_11_15_10_26,study,3,0,,3,3,,workplace,4,6,3,-0.321310711,0.303692495,10.38851797,-0.744344076,-0.064916992,0.502530924,,,,
134,134,134,134,2018_11_15_10_26,study,3,0,,3,3,,workplace,4,6,3,-0.321310711,0.303692495,10.38851797,-0.360555013,-0.075105794,0.791178385,,,,
135,135,135,135,2018_11_15_10_26,study,3,0,,3,3,,workplace,4,6,3,-0.321310711,0.303692495,10.38851797,-0.360555013,-0.075105794,0.791178385,,,,
136,136,136,136,2018_11_15_10_27,study,3,0,,3,3,,workplace,4,6,3,-0.178500739,0.158001227,10.40580221,-0.366137695,-0.086572266,0.91558431,,,,
137,137,137,137,2018_11_15_10_27,study,3,0,,3,3,,workplace,4,6,3,-0.178500739,0.158001227,10.40580221,-0.366137695,-0.086572266,0.91558431,,,,
138,138,138,138,2018_11_15_10_27,study,3,0,,3,3,,workplace,4,6,3,-0.178500739,0.158001227,10.40580221,-0.119905599,-0.32594401,0.886344401,,,,
139,139,139,139,2018_11_15_10_27,study,3,0,,3,3,,workplace,4,6,3,-0.178500739,0.158001227,10.40580221,-0.119905599,-0.32594401,0.886344401,,,,
140,140,140,140,2018_11_15_10_27,study,3,0,,3,3,,workplace,4,6,3,-0.319978488,0.310350741,10.39313683,-0.366137695,-0.086572266,0.91558431,,,,
141,141,141,141,2018_11_15_10_27,study,3,0,,3,3,,workplace,4,6,3,-0.319978488,0.310350741,10.39313683,-0.366137695,-0.086572266,0.91558431,,,,
142,142,142,142,2018_11_15_10_27,study,3,0,,3,3,,workplace,4,6,3,-0.319978488,0.310350741,10.39313683,-0.119905599,-0.32594401,0.886344401,,,,
143,143,143,143,2018_11_15_10_27,study,3,0,,3,3,,workplace,4,6,3,-0.319978488,0.310350741,10.39313683,-0.119905599,-0.32594401,0.886344401,,,,
144,144,144,144,2018_11_15_10_28,study,3,0,,3,3,,workplace,4,6,3,-0.180535677,0.15666605,10.40225514,-0.328157552,-0.183243815,0.849755859,,,,
145,145,145,145,2018_11_15_10_28,study,3,0,,3,3,,workplace,4,6,3,-0.180535677,0.15666605,10.40225514,-0.328157552,-0.183243815,0.849755859,,,,
146,146,146,146,2018_11_15_10_28,study,3,0,,3,3,,workplace,4,6,3,-0.180535677,0.15666605,10.40225514,-0.334386399,-0.42846209,0.724929977,,,,
147,147,147,147,2018_11_15_10_28,study,3,0,,3,3,,workplace,4,6,3,-0.180535677,0.15666605,10.40225514,-0.334386399,-0.42846209,0.724929977,,,,
148,148,148,148,2018_11_15_10_28,study,3,0,,3,3,,workplace,4,6,3,-0.217675185,0.265747,10.39816326,-0.328157552,-0.183243815,0.849755859,,,,
149,149,149,149,2018_11_15_10_28,study,3,0,,3,3,,workplace,4,6,3,-0.217675185,0.265747,10.39816326,-0.328157552,-0.183243815,0.849755859,,,,
150,150,150,150,2018_11_15_10_28,study,3,0,,3,3,,workplace,4,6,3,-0.217675185,0.265747,10.39816326,-0.334386399,-0.42846209,0.724929977,,,,
151,151,151,151,2018_11_15_10_28,study,3,0,,3,3,,workplace,4,6,3,-0.217675185,0.265747,10.39816326,-0.334386399,-0.42846209,0.724929977,,,,
152,152,152,152,2018_11_15_10_29,study,3,0,,3,3,,workplace,4,6,3,-0.182916473,0.154427351,10.40385841,-0.357495117,-0.107747396,0.914794922,,,,
153,153,153,153,2018_11_15_10_29,study,3,0,,3,3,,workplace,4,6,3,-0.182916473,0.154427351,10.40385841,-0.357495117,-0.107747396,0.914794922,,,,
154,154,154,154,2018_11_15_10_29,study,3,0,,3,3,,workplace,4,6,3,-0.182916473,0.154427351,10.40385841,-0.175374349,-0.272794596,0.775398763,,,,
155,155,155,155,2018_11_15_10_29,study,3,0,,3,3,,workplace,4,6,3,-0.182916473,0.154427351,10.40385841,-0.175374349,-0.272794596,0.775398763,,,,
156,156,156,156,2018_11_15_10_29,study,3,0,,3,3,,workplace,4,6,3,-0.334088996,0.28682161,10.39399208,-0.357495117,-0.107747396,0.914794922,,,,
157,157,157,157,2018_11_15_10_29,study,3,0,,3,3,,workplace,4,6,3,-0.334088996,0.28682161,10.39399208,-0.357495117,-0.107747396,0.914794922,,,,
158,158,158,158,2018_11_15_10_29,study,3,0,,3,3,,workplace,4,6,3,-0.334088996,0.28682161,10.39399208,-0.175374349,-0.272794596,0.775398763,,,,
159,159,159,159,2018_11_15_10_29,study,3,0,,3,3,,workplace,4,6,3,-0.334088996,0.28682161,10.39399208,-0.175374349,-0.272794596,0.775398763,,,,
160,160,160,160,2018_11_15_10_30,study,3,0,,3,3,,workplace,4,6,3,-0.180286337,0.156531996,10.40144277,-0.388077799,-0.127335612,0.899104818,,,,
161,161,161,161,2018_11_15_10_30,study,3,0,,3,3,,workplace,4,6,3,-0.180286337,0.156531996,10.40144277,-0.388077799,-0.127335612,0.899104818,,,,
162,162,162,162,2018_11_15_10_30,study,3,0,,3,3,,workplace,4,6,3,-0.180286337,0.156531996,10.40144277,-0.174625651,-0.194856771,0.926310221,,,,
163,163,163,163,2018_11_15_10_30,study,3,0,,3,3,,workplace,4,6,3,-0.180286337,0.156531996,10.40144277,-0.174625651,-0.194856771,0.926310221,,,,
